country,total_deaths
Afghanistan,217641
Albania,22235
Algeria,192287
American Samoa,360
Andorra,587
Angola,173340
Antigua and Barbuda,578
Argentina,337052
Armenia,27964
Australia,160895
Austria,79649
Azerbaijan,75923
Bahamas,2562
Bahrain,4062
Bangladesh,826123
Barbados,2853
Belarus,120747
Belgium,107942
Belize,1903
Benin,82531
Bermuda,557
Bhutan,3999
Bolivia,73222
Bosnia and Herzegovina,37210
Botswana,20774
Brazil,1338790
Brunei,1767
Bulgaria,124815
Burkina Faso,174965
Burundi,80411
Cambodia,111810
Cameroon,191271
Canada,273947
Cape Verde,3428
Central African Republic,63977
Chad,141252
Chile,111199
China,10442561
Colombia,236162
Comoros,4868
Congo,34533
Cook Islands,165
Costa Rica,23700
Cote d'Ivoire,169974
Croatia,51084
Cuba,101353
Cyprus,8223
Czechia,111661
Democratic Republic of Congo,521063
Denmark,53219
Djibouti,7222
Dominica,699
Dominican Republic,69497
Ecuador,90255
Egypt,605194
El Salvador,39947
Equatorial Guinea,7179
Eritrea,42572
Estonia,15720
Eswatini,11283
Ethiopia,531103
Fiji,7158
Finland,54194
France,567917
Gabon,11440
Gambia,12570
Georgia,49823
Germany,931723
Ghana,198854
Greece,126577
Greenland,455
Grenada,775
Guam,1108
Guatemala,94106
Guinea,102484
Guinea-Bissau,13298
Guyana,6526
Haiti,91652
Honduras,51586
Hungary,127864
Iceland,2011
India,8812747
Indonesia,1713143
Iran,376080
Iraq,165314
Ireland,31031
Israel,44807
Italy,624571
Jamaica,18689
Japan,1369773
Jordan,30128
Kazakhstan,140298
Kenya,288177
Kiribati,1124
Kuwait,9512
Kyrgyzstan,35172
Laos,42478
Latvia,26944
Lebanon,32951
Lesotho,31982
Liberia,27883
Libya,30538
Lithuania,38058
Luxembourg,3980
Madagascar,156962
Malawi,112153
Malaysia,167733
Maldives,1374
Mali,188502
Malta,3590
Marshall Islands,408
Mauritania,20187
Mauritius,10588
Mexico,737402
Micronesia,918
Moldova,42483
Monaco,513
Mongolia,25272
Montenegro,6722
Morocco,221658
Mozambique,248810
Myanmar,406449
Namibia,18533
Nauru,63
Nepal,186383
Netherlands,147407
New Zealand,32652
Nicaragua,29184
Niger,173915
Nigeria,1439500
Niue,18
North Korea,233975
North Macedonia,23924
Northern Mariana Islands,344
Norway,38663
Oman,11759
Pakistan,1411894
Palau,202
Palestine,15798
Panama,19224
Papua New Guinea,63274
Paraguay,32583
Peru,148961
Philippines,609754
Poland,400946
Portugal,112505
Puerto Rico,31642
Qatar,4131
Romania,267935
Russia,1777223
Rwanda,66525
Saint Kitts and Nevis,483
Saint Lucia,1347
Saint Vincent and the Grenadines,981
Samoa,1326
San Marino,297
Sao Tome and Principe,963
Saudi Arabia,117663
Senegal,83559
Serbia,116590
Seychelles,784
Sierra Leone,64004
Singapore,22420
Slovakia,54299
Slovenia,20219
Solomon Islands,5825
Somalia,165347
South Africa,505389
South Korea,314050
South Sudan,67878
Spain,411986
Sri Lanka,131606
Sudan,183251
Suriname,4144
Sweden,89366
Switzerland,65841
Syria,82895
Taiwan,182622
Tajikistan,46868
Tanzania,327888
Thailand,484832
Timor,7472
Togo,50253
Tokelau,9
Tonga,641
Trinidad and Tobago,11296
Tunisia,65797
Turkey,438917
Turkmenistan,34475
Tuvalu,104
Uganda,222706
Ukraine,703434
United Arab Emirates,27147
United Kingdom,593736
United States of America,2834964
United States Virgin Islands,1246
Uruguay,32119
Uzbekistan,208103
Vanuatu,2153
Venezuela,181325
Vietnam,619258
Yemen,161494
Zambia,120001
Zimbabwe,123540
